DEBUG 2024-10-07 01:49:41,222 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\pandas\core\computation\expr.py first seen with mtime 1720528683.853715
DEBUG 2024-10-07 01:49:41,230 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\rest_framework\fields.py first seen with mtime 1720528676.4256654
DEBUG 2024-10-07 01:49:41,230 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\chardet\escprober.py first seen with mtime 1725272056.9335165
DEBUG 2024-10-07 01:49:41,238 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\psycopg2\_range.py first seen with mtime 1724265735.6981897
DEBUG 2024-10-07 01:49:41,238 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1720182468.6868663
DEBUG 2024-10-07 01:49:41,246 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\numpy\random\_generator.cp312-win_amd64.pyd first seen with mtime 1720528635.657697
DEBUG 2024-10-07 01:49:41,246 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\transformers\quantizers\quantizer_aqlm.py first seen with mtime 1725344067.1860397
DEBUG 2024-10-07 01:49:41,246 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\torch\nn\_reduction.py first seen with mtime 1725344365.6458843
DEBUG 2024-10-07 01:49:41,246 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\elasticsearch\compat.py first seen with mtime 1726204394.7263992
DEBUG 2024-10-07 01:49:41,254 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1720182468.4212813
DEBUG 2024-10-07 01:49:41,254 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\proto\marshal\compat.py first seen with mtime 1720528668.7075331
DEBUG 2024-10-07 01:49:41,254 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\scipy\optimize\_shgo_lib\__init__.py first seen with mtime 1725272016.7956386
DEBUG 2024-10-07 01:49:41,254 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\pandas\core\arrays\__init__.py first seen with mtime 1720528683.8068511
DEBUG 2024-10-07 01:49:41,254 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\torch\multiprocessing\__init__.py first seen with mtime 1725344365.6771274
DEBUG 2024-10-07 01:49:41,254 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\tqdm\__init__.py first seen with mtime 1720528659.8386939
DEBUG 2024-10-07 01:49:41,262 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\transformers\models\nystromformer\configuration_nystromformer.py first seen with mtime 1725344065.436047
DEBUG 2024-10-07 01:49:41,262 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\scipy\integrate\_odepack.cp312-win_amd64.pyd first seen with mtime 1725272015.1374853
DEBUG 2024-10-07 01:49:41,270 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\pandas\io\formats\printing.py first seen with mtime 1720528684.1298137
DEBUG 2024-10-07 01:49:41,270 autoreload File C:\Users\Hemali\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\thread.py first seen with mtime 1701967814.0
DEBUG 2024-10-07 01:49:41,278 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\elasticsearch\_async\client\query_rules.py first seen with mtime 1726204394.7940838
